"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHEXP","TOT","MLN_USD","A","1970",30516.7007811227,
"AUS","HHEXP","TOT","MLN_USD","A","1971",32843.3175291709,
"AUS","HHEXP","TOT","MLN_USD","A","1972",35636.8367667877,
"AUS","HHEXP","TOT","MLN_USD","A","1973",41167.6928674158,
"AUS","HHEXP","TOT","MLN_USD","A","1974",48524.9961460855,
"AUS","HHEXP","TOT","MLN_USD","A","1975",52492.5686971608,
"AUS","HHEXP","TOT","MLN_USD","A","1976",56975.5216275904,
"AUS","HHEXP","TOT","MLN_USD","A","1977",61312.6131481748,
"AUS","HHEXP","TOT","MLN_USD","A","1978",66943.4809163672,
"AUS","HHEXP","TOT","MLN_USD","A","1979",74438.6319471186,
"AUS","HHEXP","TOT","MLN_USD","A","1980",84721.4317041318,
"AUS","HHEXP","TOT","MLN_USD","A","1981",97598.3570012938,
"AUS","HHEXP","TOT","MLN_USD","A","1982",105893.547166384,
"AUS","HHEXP","TOT","MLN_USD","A","1983",109749.470880343,
"AUS","HHEXP","TOT","MLN_USD","A","1984",114651.711095722,
"AUS","HHEXP","TOT","MLN_USD","A","1985",125587.517385325,
"AUS","HHEXP","TOT","MLN_USD","A","1986",131321.35379821,
"AUS","HHEXP","TOT","MLN_USD","A","1987",138760.76770458,
"AUS","HHEXP","TOT","MLN_USD","A","1988",150494.318068245,
"AUS","HHEXP","TOT","MLN_USD","A","1989",163950.618772409,
"AUS","HHEXP","TOT","MLN_USD","A","1990",171078.728050518,
"AUS","HHEXP","TOT","MLN_USD","A","1991",179023.391938576,
"AUS","HHEXP","TOT","MLN_USD","A","1992",187093.188318183,
"AUS","HHEXP","TOT","MLN_USD","A","1993",195390.312115511,
"AUS","HHEXP","TOT","MLN_USD","A","1994",209262.760584497,
"AUS","HHEXP","TOT","MLN_USD","A","1995",220856.976144049,
"AUS","HHEXP","TOT","MLN_USD","A","1996",231018.832794513,
"AUS","HHEXP","TOT","MLN_USD","A","1997",246951.76087534,
"AUS","HHEXP","TOT","MLN_USD","A","1998",261833.632791469,
"AUS","HHEXP","TOT","MLN_USD","A","1999",279306.477104713,
"AUS","HHEXP","TOT","MLN_USD","A","2000",298950.836355363,
"AUS","HHEXP","TOT","MLN_USD","A","2001",311672.596677782,
"AUS","HHEXP","TOT","MLN_USD","A","2002",329243.852140565,
"AUS","HHEXP","TOT","MLN_USD","A","2003",343594.284918029,
"AUS","HHEXP","TOT","MLN_USD","A","2004",368715.765443826,
"AUS","HHEXP","TOT","MLN_USD","A","2005",386817.629997343,
"AUS","HHEXP","TOT","MLN_USD","A","2006",411487.467159353,
"AUS","HHEXP","TOT","MLN_USD","A","2007",442721.358382195,
"AUS","HHEXP","TOT","MLN_USD","A","2008",449727.700414253,
"AUS","HHEXP","TOT","MLN_USD","A","2009",471287.134565722,
"AUS","HHEXP","TOT","MLN_USD","A","2010",497705.431454072,
"AUS","HHEXP","TOT","MLN_USD","A","2011",533347.875407126,
"AUS","HHEXP","TOT","MLN_USD","A","2012",549963.070801875,
"AUS","HHEXP","TOT","MLN_USD","A","2013",585113.55070214,
"AUS","HHEXP","TOT","MLN_USD","A","2014",603102.33850529,
"AUS","HHEXP","TOT","MLN_USD","A","2015",619732.807064677,
"AUS","HHEXP","TOT","MLN_USD","A","2016",646548.92281445,
"AUS","HHEXP","TOT","MLN_USD","A","2017",660124.909873837,
"AUS","HHEXP","TOT","MLN_USD","A","2018",683275.083546376,
"AUS","HHEXP","TOT","MLN_USD","A","2019",660664.900668041,
"AUS","HHEXP","TOT","MLN_USD","A","2020",680929.945567369,
"AUT","HHEXP","TOT","MLN_USD","A","1970",14471.9249070039,
"AUT","HHEXP","TOT","MLN_USD","A","1971",16100.0922066851,
"AUT","HHEXP","TOT","MLN_USD","A","1972",17661.7740983892,
"AUT","HHEXP","TOT","MLN_USD","A","1973",19612.6055954171,
"AUT","HHEXP","TOT","MLN_USD","A","1974",22302.2652955906,
"AUT","HHEXP","TOT","MLN_USD","A","1975",24945.9461553604,
"AUT","HHEXP","TOT","MLN_USD","A","1976",27510.2077931938,
"AUT","HHEXP","TOT","MLN_USD","A","1977",31183.5107293409,
"AUT","HHEXP","TOT","MLN_USD","A","1978",32784.4040295496,
"AUT","HHEXP","TOT","MLN_USD","A","1979",37391.5263092979,
"AUT","HHEXP","TOT","MLN_USD","A","1980",42461.8178892087,
"AUT","HHEXP","TOT","MLN_USD","A","1981",46855.8628079336,
"AUT","HHEXP","TOT","MLN_USD","A","1982",50409.6490898658,
"AUT","HHEXP","TOT","MLN_USD","A","1983",55409.8582453346,
"AUT","HHEXP","TOT","MLN_USD","A","1984",56279.1511207376,
"AUT","HHEXP","TOT","MLN_USD","A","1985",59297.1980666736,
"AUT","HHEXP","TOT","MLN_USD","A","1986",61915.9750787894,
"AUT","HHEXP","TOT","MLN_USD","A","1987",65368.0362112237,
"AUT","HHEXP","TOT","MLN_USD","A","1988",69558.0793324794,
"AUT","HHEXP","TOT","MLN_USD","A","1989",75200.4001942784,
"AUT","HHEXP","TOT","MLN_USD","A","1990",81826.4483319077,
"AUT","HHEXP","TOT","MLN_USD","A","1991",87094.8502235806,
"AUT","HHEXP","TOT","MLN_USD","A","1992",92527.5813248355,
"AUT","HHEXP","TOT","MLN_USD","A","1993",94932.7408460315,
"AUT","HHEXP","TOT","MLN_USD","A","1994",98893.6467294482,
"AUT","HHEXP","TOT","MLN_USD","A","1995",101836.585393488,
"AUT","HHEXP","TOT","MLN_USD","A","1996",107043.606281901,
"AUT","HHEXP","TOT","MLN_USD","A","1997",109360.336579728,
"AUT","HHEXP","TOT","MLN_USD","A","1998",114382.804677518,
"AUT","HHEXP","TOT","MLN_USD","A","1999",117824.550921006,
"AUT","HHEXP","TOT","MLN_USD","A","2000",126622.183033314,
"AUT","HHEXP","TOT","MLN_USD","A","2001",128917.578713424,
"AUT","HHEXP","TOT","MLN_USD","A","2002",133123.6969383,
"AUT","HHEXP","TOT","MLN_USD","A","2003",139431.152125914,
"AUT","HHEXP","TOT","MLN_USD","A","2004",146082.793169715,
"AUT","HHEXP","TOT","MLN_USD","A","2005",154029.882967281,
"AUT","HHEXP","TOT","MLN_USD","A","2006",162377.797714718,
"AUT","HHEXP","TOT","MLN_USD","A","2007",168180.650990374,
"AUT","HHEXP","TOT","MLN_USD","A","2008",174583.583309088,
"AUT","HHEXP","TOT","MLN_USD","A","2009",178342.188991797,
"AUT","HHEXP","TOT","MLN_USD","A","2010",184815.518884255,
"AUT","HHEXP","TOT","MLN_USD","A","2011",194567.048510333,
"AUT","HHEXP","TOT","MLN_USD","A","2012",199057.684931164,
"AUT","HHEXP","TOT","MLN_USD","A","2013",205604.388327587,
"AUT","HHEXP","TOT","MLN_USD","A","2014",210370.528936849,
"AUT","HHEXP","TOT","MLN_USD","A","2015",213261.769245235,
"AUT","HHEXP","TOT","MLN_USD","A","2016",224616.247193907,
"AUT","HHEXP","TOT","MLN_USD","A","2017",231585.925691891,
"AUT","HHEXP","TOT","MLN_USD","A","2018",241760.674239525,
"AUT","HHEXP","TOT","MLN_USD","A","2019",242554.327637793,
"AUT","HHEXP","TOT","MLN_USD","A","2020",232613.429573994,
"BEL","HHEXP","TOT","MLN_USD","A","1970",17860.0860891433,
"BEL","HHEXP","TOT","MLN_USD","A","1971",19534.5058730558,
"BEL","HHEXP","TOT","MLN_USD","A","1972",21396.8350235796,
"BEL","HHEXP","TOT","MLN_USD","A","1973",24386.6605242091,
"BEL","HHEXP","TOT","MLN_USD","A","1974",27680.4971496277,
"BEL","HHEXP","TOT","MLN_USD","A","1975",30244.5289829384,
"BEL","HHEXP","TOT","MLN_USD","A","1976",33525.6196936382,
"BEL","HHEXP","TOT","MLN_USD","A","1977",36645.786611655,
"BEL","HHEXP","TOT","MLN_USD","A","1978",40174.0441627852,
"BEL","HHEXP","TOT","MLN_USD","A","1979",45987.9000843624,
"BEL","HHEXP","TOT","MLN_USD","A","1980",50526.1706141493,
"BEL","HHEXP","TOT","MLN_USD","A","1981",55282.6806296544,
"BEL","HHEXP","TOT","MLN_USD","A","1982",59776.3605840133,
"BEL","HHEXP","TOT","MLN_USD","A","1983",62225.4910351595,
"BEL","HHEXP","TOT","MLN_USD","A","1984",64813.9224719697,
"BEL","HHEXP","TOT","MLN_USD","A","1985",68891.6995250657,
"BEL","HHEXP","TOT","MLN_USD","A","1986",72304.4153098226,
"BEL","HHEXP","TOT","MLN_USD","A","1987",75826.9944306381,
"BEL","HHEXP","TOT","MLN_USD","A","1988",81404.5538982363,
"BEL","HHEXP","TOT","MLN_USD","A","1989",87769.5701833285,
"BEL","HHEXP","TOT","MLN_USD","A","1990",94531.6262409043,
"BEL","HHEXP","TOT","MLN_USD","A","1991",100642.775325886,
"BEL","HHEXP","TOT","MLN_USD","A","1992",105297.20500731,
"BEL","HHEXP","TOT","MLN_USD","A","1993",107436.136980302,
"BEL","HHEXP","TOT","MLN_USD","A","1994",112304.702344404,
"BEL","HHEXP","TOT","MLN_USD","A","1995",116476.506365045,
"BEL","HHEXP","TOT","MLN_USD","A","1996",120015.665900301,
"BEL","HHEXP","TOT","MLN_USD","A","1997",123447.74973884,
"BEL","HHEXP","TOT","MLN_USD","A","1998",126585.532975645,
"BEL","HHEXP","TOT","MLN_USD","A","1999",130953.821839877,
"BEL","HHEXP","TOT","MLN_USD","A","2000",144999.979258086,
"BEL","HHEXP","TOT","MLN_USD","A","2001",149736.937960732,
"BEL","HHEXP","TOT","MLN_USD","A","2002",154595.415438556,
"BEL","HHEXP","TOT","MLN_USD","A","2003",155365.091912101,
"BEL","HHEXP","TOT","MLN_USD","A","2004",161837.65569607,
"BEL","HHEXP","TOT","MLN_USD","A","2005",168463.132583311,
"BEL","HHEXP","TOT","MLN_USD","A","2006",176505.145577872,
"BEL","HHEXP","TOT","MLN_USD","A","2007",184257.584892666,
"BEL","HHEXP","TOT","MLN_USD","A","2008",194581.594589707,
"BEL","HHEXP","TOT","MLN_USD","A","2009",197020.574984227,
"BEL","HHEXP","TOT","MLN_USD","A","2010",208923.970767365,
"BEL","HHEXP","TOT","MLN_USD","A","2011",220029.938669796,
"BEL","HHEXP","TOT","MLN_USD","A","2012",227142.109252114,
"BEL","HHEXP","TOT","MLN_USD","A","2013",236572.936466063,
"BEL","HHEXP","TOT","MLN_USD","A","2014",242820.828952902,
"BEL","HHEXP","TOT","MLN_USD","A","2015",247220.120938205,
"BEL","HHEXP","TOT","MLN_USD","A","2016",258303.999159179,
"BEL","HHEXP","TOT","MLN_USD","A","2017",267251.809930942,
"BEL","HHEXP","TOT","MLN_USD","A","2018",281510.73688862,
"BEL","HHEXP","TOT","MLN_USD","A","2019",286399.129314879,
"BEL","HHEXP","TOT","MLN_USD","A","2020",273427.063025237,
"CAN","HHEXP","TOT","MLN_USD","A","1970",50424.7989499984,
"CAN","HHEXP","TOT","MLN_USD","A","1971",55600.4013126028,
"CAN","HHEXP","TOT","MLN_USD","A","1972",61441.0616286602,
"CAN","HHEXP","TOT","MLN_USD","A","1973",69108.3472940573,
"CAN","HHEXP","TOT","MLN_USD","A","1974",80115.4847420417,
"CAN","HHEXP","TOT","MLN_USD","A","1975",90108.421545297,
"CAN","HHEXP","TOT","MLN_USD","A","1976",99925.5509528,
"CAN","HHEXP","TOT","MLN_USD","A","1977",109382.826249893,
"CAN","HHEXP","TOT","MLN_USD","A","1978",120484.005155217,
"CAN","HHEXP","TOT","MLN_USD","A","1979",134190.697560765,
"CAN","HHEXP","TOT","MLN_USD","A","1980",151179.167266741,
"CAN","HHEXP","TOT","MLN_USD","A","1981",166694.840009359,
"CAN","HHEXP","TOT","MLN_USD","A","1982",171441.165660722,
"CAN","HHEXP","TOT","MLN_USD","A","1983",183195.754930612,
"CAN","HHEXP","TOT","MLN_USD","A","1984",197412.000875839,
"CAN","HHEXP","TOT","MLN_USD","A","1985",214310.180936306,
"CAN","HHEXP","TOT","MLN_USD","A","1986",226466.740392412,
"CAN","HHEXP","TOT","MLN_USD","A","1987",242496.143344272,
"CAN","HHEXP","TOT","MLN_USD","A","1988",262364.757605734,
"CAN","HHEXP","TOT","MLN_USD","A","1989",283161.507609277,
"CAN","HHEXP","TOT","MLN_USD","A","1990",299646.311513836,
"CAN","HHEXP","TOT","MLN_USD","A","1991",306215.049749978,
"CAN","HHEXP","TOT","MLN_USD","A","1992",319227.996610176,
"CAN","HHEXP","TOT","MLN_USD","A","1993",333258.488403064,
"CAN","HHEXP","TOT","MLN_USD","A","1994",350047.706518008,
"CAN","HHEXP","TOT","MLN_USD","A","1995",365439.398507176,
"CAN","HHEXP","TOT","MLN_USD","A","1996",384337.104068328,
"CAN","HHEXP","TOT","MLN_USD","A","1997",410142.816179805,
"CAN","HHEXP","TOT","MLN_USD","A","1998",424721.951675095,
"CAN","HHEXP","TOT","MLN_USD","A","1999",447870.18896543,
"CAN","HHEXP","TOT","MLN_USD","A","2000",474922.804799333,
"CAN","HHEXP","TOT","MLN_USD","A","2001",496094.988298039,
"CAN","HHEXP","TOT","MLN_USD","A","2002",519495.273337598,
"CAN","HHEXP","TOT","MLN_USD","A","2003",543755.480068231,
"CAN","HHEXP","TOT","MLN_USD","A","2004",574310.431354598,
"CAN","HHEXP","TOT","MLN_USD","A","2005",612701.648832915,
"CAN","HHEXP","TOT","MLN_USD","A","2006",632991.918286656,
"CAN","HHEXP","TOT","MLN_USD","A","2007",677883.833221379,
"CAN","HHEXP","TOT","MLN_USD","A","2008",693187.076349211,
"CAN","HHEXP","TOT","MLN_USD","A","2009",695027.155733998,
"CAN","HHEXP","TOT","MLN_USD","A","2010",732843.023724582,
"CAN","HHEXP","TOT","MLN_USD","A","2011",772039.729143443,
"CAN","HHEXP","TOT","MLN_USD","A","2012",797099.329246715,
"CAN","HHEXP","TOT","MLN_USD","A","2013",816927.583380066,
"CAN","HHEXP","TOT","MLN_USD","A","2014",848851.881804076,
"CAN","HHEXP","TOT","MLN_USD","A","2015",858520.398058886,
"CAN","HHEXP","TOT","MLN_USD","A","2016",910727.610048363,
"CAN","HHEXP","TOT","MLN_USD","A","2017",955798.708603899,
"CAN","HHEXP","TOT","MLN_USD","A","2018",1004435.61281433,
"CAN","HHEXP","TOT","MLN_USD","A","2019",1002551.80884456,
"CAN","HHEXP","TOT","MLN_USD","A","2020",953715.923753061,
"CZE","HHEXP","TOT","MLN_USD","A","1990",57426.6749486919,
"CZE","HHEXP","TOT","MLN_USD","A","1991",46630.0536926237,
